freq,vin,amp,pha,v1,v2,zin,zin_db,pha_zin,res
100.0,10.0,-7.1,-1.0,9.78,4.32,1186.557096701921,61.485772823017655,-1.791023032927056,1500
107.42437629893644,10.0,-7.1,-2.0,9.775,4.315,1184.4191584417117,61.47010847313321,-3.579104760953488,1500
115.3999662321551,10.0,-7.1,-2.0,9.76,4.32,1190.143976537096,61.51199005866214,-3.586739215092312,1500
123.96769397407587,10.0,-7.1,-2.0,9.76,4.315,1187.6779599152082,61.493973944356604,-3.583450602209838,1500
133.17152206382522,10.0,-7.1,-2.0,9.695,4.315,1202.009071103441,61.59815490267392,-3.6025622566896938,1500
143.05867698486477,10.0,-7.1,-2.0,9.69,4.31,1200.618011157031,61.5880970833696,-3.6007071619780864,1500
153.67989149250127,10.0,-7.1,-2.0,9.695,4.305,1197.0048434541732,61.561918154012346,-3.595888708673204,1500
165.0896649327018,10.0,-7.1,-2.0,9.74,4.305,1187.1064078704385,61.48979298532177,-3.5826883966500613,1500
177.3465428879589,10.0,-7.1,-3.0,9.765,4.3,1177.9703894777151,61.4226874754383,-5.355527921284987,1500
190.51341758511566,10.0,-7.1,-3.0,9.76,4.305,1181.492264238172,61.4486176491236,-5.362574424667938,1500
204.657850606599,10.0,-7.1,-3.0,9.765,4.3,1177.9703894777151,61.4226874754383,-5.355527921284987,1500
219.85241956094808,10.0,-7.2,-3.0,9.75,4.295,1178.7553998063345,61.42847390452759,-5.357098552674795,1500
236.17509049146943,10.0,-7.2,-3.0,9.77,4.285,1169.603909354904,61.36077622456752,-5.338788561763442,1500
253.70961793391004,10.0,-7.2,-4.0,9.76,4.28,1167.5832321720954,61.34575698792587,-7.112557425326488,1500
272.5459746759175,10.0,-7.2,-4.0,9.76,4.27,1162.7568115977606,61.30977784701927,-7.099678502173814,1500
292.7808134234616,10.0,-7.2,-5.0,9.755,4.265,1159.2272683995989,61.2833717690724,-8.862112320469306,1500
314.5179627431064,10.0,-7.2,-5.0,9.76,4.255,1153.40157820204,61.23961082642853,-8.842674069244524,1500
337.86895982490336,10.0,-7.2,-5.0,9.75,4.24,1148.3302233717866,61.20133590697948,-8.825753126908172,1500
362.95362279960693,10.0,-7.3,-6.0,9.755,4.23,1140.0054148524,61.13813828348266,-10.556493150044885,1500
389.9006655468721,10.0,-7.3,-6.0,9.75,4.215,1133.9738378819031,61.092060699698756,-10.532334965435222,1500
418.8483581491295,10.0,-7.3,-6.0,9.755,4.195,1123.6257365933761,61.01243356275311,-10.490889749331858,1500
449.9452363800384,10.0,-7.4,-8.0,9.755,4.175,1108.2923911319035,60.89308703281478,-13.902138290283874,1500
483.3508638680315,10.0,-7.4,-8.0,9.745,4.15,1098.8705348152528,60.818930566806785,-13.85178686012553,1500
519.2366508457542,10.0,-7.5,-9.0,9.735,4.12,1083.7799353287041,60.698822127904855,-15.489839799653144,1500
557.7867336865377,10.0,-7.5,-9.0,9.745,4.085,1066.4053651821105,60.558446427724526,-15.385361755362307,1500
599.1989197409733,10.0,-7.6,-10.0,9.755,4.045,1043.59478210188,60.37063797985485,-16.938980490233405,1500
643.6857023217054,10.0,-7.7,-11.0,9.74,4.0,1023.3007792048073,60.20006609651987,-18.479415828216244,1500
691.4753510445206,10.0,-7.8,-11.0,9.745,3.97,1009.8700945461461,60.08531023109326,-18.38069918226298,1500
742.8130831204584,10.0,-7.9,-12.0,9.745,3.91,981.4266543058845,59.837156973871465,-19.818379679537863,1500
797.9623216090528,10.0,-8.1,-13.0,9.745,3.84,949.6729228706482,59.55148111101933,-21.187902627766466,1500
857.2060470890383,10.0,-8.3,-13.0,9.75,3.765,919.7600860461785,59.27349117964595,-20.928313359978677,1500
920.8482496821667,10.0,-8.5,-14.0,9.75,3.67,880.4654996217469,58.89424686268261,-22.16374402144754,1500
989.2154888807406,10.0,-8.7,-15.0,9.74,3.57,842.0962583808619,58.50723475384714,-23.354673119450617,1500
1062.6585691826117,10.0,-9.0,-15.0,9.71,3.45,803.6011176907372,58.100810642325186,-22.970208499853864,1500
1141.5543401316227,10.0,-9.3,-16.0,9.725,3.31,751.5296939902245,57.518922896897095,-23.937903116487007,1500
1226.3076299998363,10.0,-9.7,-16.0,9.71,3.165,706.0071013038382,56.97618138765253,-23.454257318757122,1500
1317.3533230335934,10.0,-10.2,-16.0,9.72,2.985,648.9256731626294,56.24389912602619,-22.848556662922718,1500
1415.158590922151,10.0,-10.8,-16.0,9.715,2.795,592.9674149519378,55.46061656895846,-22.255520172879162,1500
1520.2252899389382,10.0,-11.4,-15.0,9.71,2.61,542.1985739328234,54.68316741966912,-20.368111612661373,1500
1633.0925360556025,10.0,-12.1,-13.0,9.72,2.405,487.73382944496046,53.763657590065506,-17.194597548111222,1500
1754.3394712422148,10.0,-12.8,-9.0,9.7,2.22,443.0925361970684,52.9298886898343,-11.648579009856068,1500
1884.5882351480107,10.0,-13.4,-2.0,9.705,2.08,409.0938117953473,52.23645820285137,-2.545355886300183,1500
2024.507157410884,10.0,-13.6,5.0,9.72,2.015,391.7861982587891,51.86098265432672,6.304409733922578,1500
2174.814186975972,10.0,-13.4,14.0,9.695,2.065,401.8788718451087,52.08190348874338,17.716261588124368,1500
2336.2805760197234,10.0,-12.8,22.0,9.69,2.22,433.77281681436597,52.74524665308305,28.21902394403665,1500
2509.7348373823875,10.0,-11.9,27.0,9.71,2.45,482.9951983828584,53.67885626611951,35.40581834254668,1500
2696.066995815156,10.0,-11.0,30.0,9.725,2.73,547.0031506964694,54.7597965568752,40.50576066604294,1500
2896.2331548559046,10.0,-10.1,32.0,9.73,3.02,616.7165542687932,55.801712123418156,44.58415359046607,1500
3111.2604027669686,10.0,-9.3,32.0,9.735,3.315,696.1265928526625,56.85376449272967,46.236638599118116,1500
3342.252082708194,10.0,-8.6,31.0,9.75,3.58,774.7695736465569,57.78345113983491,46.42780117069624,1500
3590.3934541874946,10.0,-8.0,31.0,9.75,3.81,843.5908608953954,58.52263732262449,47.83725912711246,1500
3856.9577748387564,10.0,-7.5,29.0,9.775,4.035,924.7397879482338,59.32039088058736,46.390455640671874,1500
4143.312833733871,10.0,-7.1,27.0,9.775,4.225,1004.4953520487851,60.038958630859376,44.69926848294349,1500
4450.927969752401,10.0,-6.7,26.0,9.69,4.45,1109.6416895940586,60.90365529909354,44.922561372449536,1500
4781.381611021431,10.0,-6.5,24.0,9.775,4.595,1171.7803707362186,61.376924371597795,42.526144034134276,1500
5136.369374111811,10.0,-6.3,23.0,9.77,4.715,1233.4650926026482,61.82253726695591,41.741690982611324,1500
5517.712764549205,10.0,-6.1,21.0,9.785,4.815,1298.0456753087037,62.26579949159092,39.0663807153792,1500
5927.368523283786,10.0,-5.9,19.0,9.78,4.91,1368.8438567172595,62.7270782244244,36.283584111498655,1500
6367.438667077093,10.0,-5.8,18.0,9.785,4.985,1417.8125674382195,63.03237643206635,34.9828503247799,1500
6840.181274324879,10.0,-5.7,17.0,9.79,5.065,1471.4610773165807,63.354975574989226,33.66701493270838,1500
7348.022071660144,10.0,-5.6,16.0,9.805,5.07,1483.7310942496229,63.42710396406677,31.82188793678828,1500
7893.566880789099,10.0,-5.5,14.0,9.805,5.15,1555.3336180387923,63.83647118472283,28.52758989134494,1500
8479.614989427102,10.0,-5.4,14.0,9.81,5.215,1591.6852511695572,64.03714384096459,28.874875577634842,1500
9109.173514943188,10.0,-5.4,13.0,9.805,5.235,1619.2949866037718,64.1865194257724,27.054303557594405,1500
9785.472834415636,10.0,-5.3,12.0,9.79,5.215,1625.3910093780275,64.2191570636911,25.020041286047263,1500
10511.983160272866,10.0,-5.3,11.0,9.79,5.295,1689.134977861127,64.55328710388972,23.407789068416424,1500
11292.432346572354,10.0,-5.3,10.0,9.8,5.315,1711.5360660789001,64.6677211034717,21.428022113312434,1500
12130.825017284704,10.0,-5.2,10.0,9.805,5.275,1683.4181325894388,64.5238400155611,21.237810621779165,1500
13031.463114733442,10.0,-5.2,10.0,9.81,5.3,1698.0404540897016,64.59896065312505,21.336711539504133,1500
13998.967973628358,10.0,-5.2,8.0,9.805,5.365,1767.1892544164737,64.94566124194594,17.437025770982686,1500
15038.304033958155,10.0,-5.2,8.0,9.815,5.38,1773.8616579503862,64.97839493075358,17.47298491623316,1500
16154.804314417313,10.0,-5.2,8.0,9.82,5.39,1778.9599889601293,65.00332360733067,17.500463553404263,1500
