freq,vin,amp,pha,v1,v2,zin,zin_db,pha_zin,res
140.00000000000006,10.0,-11.7,-4.0,9.845,2.565,1161.3588712376118,61.29932883431059,-5.406705820792574,3300
149.60807165482404,10.0,-11.7,-4.0,9.835,2.565,1162.954003079852,61.31125075882267,-5.408638326928052,3300
159.87553645910702,10.0,-11.7,-4.0,9.85,2.56,1157.5106372437729,61.27049981539889,-5.402043682463905,3300
170.8476479601965,10.0,-11.7,-4.0,9.845,2.56,1158.3039300044354,61.27645059724192,-5.403004756469214,3300
182.57276541490873,10.0,-11.7,-4.0,9.845,2.555,1155.2531511189645,61.253543235859205,-5.399308740677616,3300
195.1025669315219,10.0,-11.7,-5.0,9.84,2.55,1152.252621475176,61.23095409710987,-6.7438915049756805,3300
208.49227723950872,10.0,-11.7,-4.0,9.775,2.545,1160.2739291042867,61.29121067857264,-5.405391411654283,3300
222.80091109089892,10.0,-11.7,-5.0,9.845,2.545,1148.4265787273728,61.202064701586195,-6.738099151651427,3300
238.09153336605198,10.0,-11.7,-6.0,9.84,2.535,1142.253276940498,61.155248253007635,-8.073482960079712,3300
254.43153703025186,10.0,-11.8,-6.0,9.84,2.53,1139.2302438526456,61.132230118621884,-8.067992991543493,3300
271.8929401662066,10.0,-11.8,-6.0,9.835,2.525,1136.9859704494907,61.11510211707993,-8.063917299063418,3300
290.55270339161865,10.0,-11.8,-8.0,9.84,2.52,1130.983347063568,61.06912420581865,-10.733915073986232,3300
310.49306906082967,10.0,-11.8,-8.0,9.84,2.51,1124.9920535536132,61.02298909588087,-10.71942146426747,3300
331.801923745563,10.0,-11.9,-8.0,9.85,2.5,1117.502581877707,60.96497070398008,-10.701303838642879,3300
354.57318559239025,10.0,-11.9,-9.0,9.85,2.49,1110.2683149044828,60.90855891989285,-12.016961646537476,3300
378.9072182641827,10.0,-12.0,-9.0,9.845,2.48,1105.0944662904071,60.867988084134595,-12.002889692908838,3300
404.9112732899849,10.0,-11.9,-9.0,9.76,2.465,1108.9237816657662,60.89803394661703,-12.01330473632354,3300
432.6999627729577,10.0,-12.0,-10.0,9.83,2.455,1091.1778304219085,60.757910675880794,-13.291647962204946,3300
462.3957645398314,10.0,-12.1,-11.0,9.83,2.44,1080.8934824160801,60.67565796272554,-14.58322079065154,3300
494.12956195830157,10.0,-12.2,-11.0,9.845,2.425,1070.012929560184,60.58778051076429,-14.54710477749621,3300
528.0412208016027,10.0,-12.2,-12.0,9.835,2.405,1058.3067085842004,60.49223098237931,-15.823151233235295,3300
564.2802057027637,10.0,-12.3,-12.0,9.84,2.38,1043.2649791667836,60.36789258030901,-15.768733654947653,3300
603.006238915557,10.0,-12.4,-13.0,9.84,2.355,1027.4416959210678,60.23514372807773,-17.016147062124126,3300
644.390004285604,10.0,-12.5,-14.0,9.84,2.33,1011.6915078059974,60.10096209035193,-18.2533481635818,3300
688.6138995343786,10.0,-12.6,-14.0,9.85,2.295,990.859636251772,59.92024274623816,-18.16561064246067,3300
735.8728401717656,10.0,-12.8,-15.0,9.845,2.26,970.550024074845,59.74035849401939,-19.36559201689848,3300
786.3751185804025,10.0,-13.0,-16.0,9.83,2.215,946.2172941972142,59.519817629393195,-20.53305322071012,3300
840.3433220581969,10.0,-13.1,-16.0,9.765,2.17,929.719682145138,59.36704050121711,-20.453856930181164,3300
898.015313865254,10.0,-13.3,-17.0,9.825,2.115,891.7345437837374,59.00471181111656,-21.531400638470043,3300
959.6452815991595,10.0,-13.6,-18.0,9.825,2.055,858.8356501236113,58.678201272587856,-22.61286123067223,3300
1025.5048575192914,10.0,-13.9,-19.0,9.82,1.9865,822.7203023703123,58.305044291537854,-23.655655574267044,3300
1095.8843157579743,10.0,-14.2,-21.0,9.835,1.909,779.4919432796781,57.83623261481381,-25.855897579442605,3300
1171.0938516951198,10.0,-14.6,-21.0,9.82,1.823,738.661321079442,57.36890716841056,-25.600977050387172,3300
1251.464949135195,10.0,-15.0,-21.0,9.825,1.7385,697.462897970587,56.870422199193406,-25.34385266904284,3300
1337.351841312278,10.0,-15.6,-21.0,9.83,1.636,648.6340735915267,56.23999517980394,-25.03921906815174,3300
1429.133072162558,10.0,-16.1,-19.0,9.835,1.527,599.4712983499593,55.555367893263494,-22.3905683843972,3300
1527.213164745535,10.0,-16.8,-18.0,9.835,1.416,549.7686840550837,54.80359995826041,-20.950958331311963,3300
1632.024404167434,10.0,-17.5,-15.0,9.76,1.302,504.94533303490374,54.064887251624505,-17.269670822569772,3300
1744.0287428650208,10.0,-18.3,-13.0,9.825,1.195,455.1173266716945,53.162467395017586,-14.777828185035528,3300
1863.7198366473046,10.0,-19.0,-8.0,9.83,1.1025,416.2959156996094,52.38804300044882,-9.00597794674008,3300
1991.625220468906,10.0,-19.5,0.0,9.825,1.0425,391.7164816396243,51.85943690119239,0.0,3300
2128.308633524762,10.0,-19.6,9.0,9.825,1.0245,383.55244136332897,51.676495028682325,10.041813106952278,3300
2274.3725039139536,10.0,-19.4,18.0,9.835,1.0585,395.39348257130956,51.94059012774506,20.121875213722713,3300
2430.460603823716,10.0,-18.7,26.0,9.84,1.143,427.3182256516123,52.615028328196175,29.25413510931497,3300
2597.260886936326,10.0,-17.8,32.0,9.84,1.2665,475.3911892629903,53.54102256803996,36.378166288856704,3300
2775.5085205645833,10.0,-16.8,36.0,9.84,1.4185,536.0611819078742,54.58428719119202,41.479032089280174,3300
2965.989125880005,10.0,-15.8,39.0,9.845,1.5805,601.301327289382,55.58184324982926,45.584594784983956,3300
3169.5422405148897,10.0,-14.9,39.0,9.84,1.754,677.1050451919144,56.61312099580805,46.419093838971264,3300
3387.065018799593,10.0,-14.1,41.0,9.765,1.905,746.5670573510151,57.46137645098824,49.53548071000313,3300
3619.5161859436985,10.0,-13.4,39.0,9.85,2.067,817.3251143889303,58.247896878485,47.96705228725347,3300
3867.9202635890006,10.0,-12.8,37.0,9.84,2.242,906.495695274646,59.1473149215725,46.515590766820985,3300
4133.372085358354,10.0,-12.2,36.0,9.85,2.396,983.9265619620346,59.85925369779637,46.09342772370525,3300
4417.041622302442,10.0,-11.8,35.0,9.845,2.5005,1040.885623614107,60.34806020476822,45.42320113526062,3300
4720.179139512598,10.0,-11.3,33.0,9.86,2.6265,1112.6800562238716,60.927406075703566,43.58179863125506,3300
5044.120706627188,10.0,-11.0,31.0,9.85,2.7575,1194.2112051497954,61.54162283602584,41.741781007386244,3300
5390.294086519018,10.0,-10.7,29.0,9.855,2.8575,1259.804287104581,62.00606163834494,39.665818479090476,3300
5760.225028117938,10.0,-10.5,27.0,9.865,2.9415,1317.7754003759924,62.39682792155803,37.44491672146583,3300
6155.543991104142,10.0,-10.2,26.0,9.86,3.017,1369.5418077135157,62.73150588816533,36.48217257740659,3300
6577.9933321109265,10.0,-10.0,25.0,9.78,3.088,1434.8123634614612,63.13590220479501,35.58831474587513,3300
7029.434984110043,10.0,-9.9,24.0,9.845,3.116,1445.7918228886458,63.20211528269154,34.26487088551453,3300
7511.858662826156,10.0,-9.7,22.0,9.845,3.169,1492.244641201263,63.476800559437756,31.752665767198003,3300
8027.390636350043,10.0,-9.6,19.0,9.855,3.2165,1539.7229685199266,63.748851766521256,27.73730979226117,3300
8578.303096602296,10.0,-9.5,18.0,9.84,3.2825,1594.3139505900397,64.05147692568507,26.586013386589343,3300
9167.024173951964,10.0,-9.4,17.0,9.855,3.3105,1616.3556000698543,64.17073824459935,25.23335099603351,3300
9796.148639129362,10.0,-9.3,16.0,9.865,3.3485,1646.8041315327075,64.3328389578571,23.90620055654594,3300
10468.44933960123,10.0,-9.3,15.0,9.865,3.3765,1672.757771888686,64.46866112709608,22.53861842766636,3300
11186.889420813968,10.0,-9.2,14.0,9.865,3.4,1695.5519532162782,64.58622202972495,21.14035346569075,3300
11954.635386169492,10.0,-9.2,13.0,9.87,3.42,1714.4770760318422,64.68263365230965,19.71153797508827,3300
12775.071053295283,10.0,-9.0,13.0,9.78,3.44,1753.3192006328024,64.87721977599799,19.86431384489795,3300
13651.812468120519,10.0,-9.0,13.0,9.795,3.455,1760.7507844300744,64.91395781092903,19.89354969365621,3300
14588.723842491358,10.0,-9.0,11.0,9.87,3.47,1762.349452572458,64.9218405591176,16.848628602394296,3300
15589.934585570649,10.0,-9.0,10.0,9.86,3.48,1777.3815478658885,64.99561334333995,15.366545067044191,3300
16659.85750408623,10.0,-9.0,9.0,9.875,3.495,1789.1778478911394,65.05307024923218,13.865379407026124,3300
17803.208251646356,10.0,-8.9,9.0,9.87,3.46,1763.3268949335393,64.92665663175538,13.794916139692186,3300
19025.02611284334,10.0,-8.9,8.0,9.875,3.515,1808.7778987036932,65.14770485528133,12.37493231960661,3300
20330.69621375113,10.0,-8.9,8.0,9.885,3.52,1809.9151219008895,65.1531641719206,12.377688310577506,3300
21725.9732567096,10.0,-8.9,6.0,9.89,3.525,1819.017941565889,65.19673965344818,9.303093222303554,3300
23217.006884004237,10.0,-8.9,6.0,9.89,3.535,1826.9975853602537,65.23475946740751,9.317599367866473,3300
24810.36878223325,10.0,-8.9,5.0,9.895,3.54,1832.200414287405,65.25945954011473,7.773622254092501,3300
26513.081646821145,10.0,-8.8,6.0,9.815,3.545,1856.808572859695,65.37534265168304,9.37179447035141,3300
28332.65013434155,10.0,-8.8,5.0,9.885,3.545,1839.0982567534913,65.2920986546464,7.784072558924795,3300
30277.093939068844,10.0,-8.8,4.0,9.895,3.515,1814.3309129534402,65.17433000468019,6.197942029678179,3300
32354.98313954314,10.0,-8.8,5.0,9.91,3.515,1807.9883352184597,65.14391248333338,7.736941424926387,3300
34575.47597093858,10.0,-8.8,3.0,9.895,3.515,1815.9781281849992,65.18221227064222,4.650363180837858,3300
36948.35918971304,10.0,-8.8,3.0,9.91,3.515,1811.7253259071174,65.16184710649482,4.646497163341136,3300
39484.091208448306,10.0,-8.8,3.0,9.92,3.53,1820.8658678646489,65.20555910269968,4.6548063985961985,3300
42193.84819099386,10.0,-8.8,3.0,9.92,3.53,1820.8658678646489,65.20555910269968,4.6548063985961985,3300
45089.57331107839,10.0,-8.8,2.0,9.915,3.57,1855.7439233966927,65.37036094273661,3.124537096599428,3300
48184.02939149478,10.0,-8.8,2.0,9.92,3.575,1858.34110991296,65.3825086878337,3.126111132982532,3300
51490.85515586344,10.0,-8.7,2.0,9.855,3.575,1877.5613221712558,65.47188260402409,3.137759654188361,3300
