freq,vin,amp,pha,v1,v2,zin,zin_db,pha_zin,res
1369.8787053556573,10.0,-26.3,-30.0,9.845,0.4785,913.0090736723907,59.20950187327675,-31.45325488864656,18000
1470.290844499055,10.0,-26.5,-32.0,9.87,0.4685,889.9378805656091,58.98719386168216,-33.501306019294844,18000
1578.063195643659,10.0,-26.7,-34.0,9.945,0.459,863.5110074987405,58.72535756106881,-35.53720489778455,18000
1693.7352624905586,10.0,-26.9,-37.0,9.935,0.449,843.612825982609,58.52286347946011,-38.616270055112906,18000
1817.8860943739762,10.0,-27.1,-38.0,9.94,0.437,819.4253340651072,58.27018773699948,-39.60604743136214,18000
1951.1371849570166,10.0,-27.3,-40.0,9.935,0.425,795.7714070985021,58.015766608687144,-41.62841248652495,18000
2094.155583401935,10.0,-27.6,-42.0,9.94,0.413,771.3983418794307,57.74557402030263,-43.64323343149871,18000
2247.6572335891938,10.0,-27.9,-43.0,9.95,0.3995,744.2815290063194,57.434744822933766,-44.61595133135304,18000
2412.410558101401,10.0,-28.2,-45.0,9.955,0.386,717.3311387866557,57.11439367260428,-46.61477607922758,18000
2589.2403049133195,10.0,-28.5,-48.0,9.945,0.3725,691.2585080729552,56.792809793637275,-49.635396436540695,18000
2779.0316760443493,10.0,-28.8,-48.0,9.87,0.3595,671.7426854960157,56.54405892328721,-49.589213405621734,18000
2982.7347588413236,10.0,-29.1,-50.0,9.89,0.3445,641.1183873399971,56.13876465343766,-51.56349402829934,18000
3201.3692820744336,10.0,-29.6,-52.0,9.95,0.3305,610.1536680103204,55.708784528553025,-53.53064034606326,18000
3436.0297206550918,10.0,-30.0,-54.0,9.94,0.3145,580.1120793079152,55.27023817203616,-55.49406296242759,18000
3687.8907745297033,10.0,-30.4,-55.0,9.94,0.2995,551.7181092291826,54.83434478371273,-56.438724126736325,18000
3958.2132491765324,10.0,-30.8,-56.0,9.935,0.2855,525.5560182729337,54.41238027332551,-57.38702974357171,18000
4248.350367143021,10.0,-31.3,-57.0,9.945,0.271,497.7531374646481,53.94028012353347,-58.32890665017156,18000
4559.754542219031,10.0,-31.8,-59.0,9.94,0.2575,472.4837540309648,53.48773760479968,-60.289256271547494,18000
4893.9846501570655,10.0,-32.2,-61.0,9.95,0.2435,445.68703267900884,52.980599968334374,-62.24089014695981,18000
5252.713832336476,10.0,-32.7,-62.0,9.945,0.231,422.61825214268504,52.51896499079897,-63.187857694915735,18000
5637.737871436408,10.0,-33.2,-61.0,9.95,0.217,396.6841190556225,51.96889628351543,-62.10443737599833,18000
6050.98418104577,10.0,-33.7,-61.0,9.845,0.205,378.5678008386204,51.562873443860646,-62.05399257806375,18000
6494.521454211813,10.0,-34.2,-63.0,9.86,0.19575,360.54563922171576,51.139204943250256,-64.02262008069806,18000
6970.570019227486,10.0,-34.8,-65.0,9.945,0.18145,330.92238032906664,50.39452279105071,-65.95471132779143,18000
7481.512954498356,10.0,-35.4,-65.0,9.925,0.16985,310.2465479823448,49.834139158737855,-65.89505652071858,18000
8029.908018129323,10.0,-35.9,-66.0,9.93,0.1597,291.360651925232,49.288618003888814,-66.84728012427678,18000
8618.500451950498,10.0,-36.5,-66.0,9.925,0.15095,275.4403709985468,48.800551893214454,-66.80098066100246,18000
9250.236724078335,10.0,-37.0,-66.0,9.94,0.14155,257.7992279131046,48.2256322468814,-66.74967718499387,18000
9928.279278806838,10.0,-37.6,-67.0,9.94,0.1323,240.8116567040742,47.63355011016496,-67.70560994537021,18000
10656.022367666097,10.0,-38.1,-66.0,9.94,0.1245,226.59216712955003,47.10489786066145,-66.65892313514001,18000
11437.109040897845,10.0,-38.7,-67.0,9.935,0.11775,214.3163655912798,46.62110671664699,-67.62797194360185,18000
12275.449384406364,10.0,-39.2,-66.0,9.85,0.1091,200.2624572494323,46.03199081436821,-66.58235432899149,18000
13175.240093478486,10.0,-39.8,-65.0,9.865,0.10275,188.3014372524045,45.49707269756179,-65.5432327949047,18000
14140.985481257574,10.0,-40.4,-64.0,9.93,0.09745,177.40278902749102,44.97920886568956,-64.50754720142417,18000
15177.520027139235,10.0,-40.9,-65.0,9.94,0.0899,163.41588978757662,44.26588565978466,-65.47143847393805,18000
16290.032577964794,10.0,-41.5,-65.0,9.94,0.0836,151.92390137668738,43.63252208942542,-65.43828456730719,18000
17484.092323162768,10.0,-42.1,-69.0,9.96,0.08045,145.80947585621965,43.2757149759823,-69.43330305748397,18000
18765.67667386892,10.0,-42.7,-64.0,9.935,0.07295,132.59299796861131,42.450411805072434,-64.37934474952088,18000
20141.201185586397,10.0,-43.3,-61.0,9.955,0.06865,124.54268464312578,41.90636446283352,-61.34672907416545,18000
21617.551674177448,10.0,-43.9,-63.0,9.955,0.06545,118.69477889026095,41.48863231523009,-63.33663954090237,18000
23202.118685957932,10.0,-44.5,-61.0,9.965,0.0612,110.87543663658715,40.89670686261067,-61.30867881906218,18000
24902.834494450773,10.0,-45.1,-62.0,9.96,0.0555,100.56306059395985,40.04876964893613,-62.28263458117381,18000
26728.212809002023,10.0,-45.6,-57.0,9.87,0.05195,95.01308379443456,39.555668280192066,-57.25364503297971,18000
28687.391394039612,10.0,9.9e+37,-49.0,9.905,0.04245,77.35996292161938,37.770325058381026,-49.1858433411186,18000
30790.17781232443,10.0,9.9e+37,-52.0,9.905,0.0422,76.88978936031177,37.7173734231036,-52.192864263325,18000
33047.09852118269,10.0,-47.6,-53.0,9.985,0.03975,71.82921135518295,37.12602196294902,-53.18259991755888,18000
35469.45156749346,10.0,-48.0,-54.0,9.97,0.04015,72.65906414567486,37.22579599632893,-54.18711057942432,18000
38069.36314521992,10.0,-48.6,-51.0,9.97,0.039,70.58466746891848,36.97420746103268,-51.174607850921596,18000
40859.84829860871,10.0,-49.0,-52.0,9.98,0.03535,63.896606495912806,36.10955587389276,-52.16027309793138,18000
43854.876074935,10.0,-49.6,-51.0,9.985,0.0362,65.40685643683318,36.312465534254045,-51.16179927665782,18000
47069.439452945626,10.0,-50.0,-51.0,9.985,0.03235,58.4364372324572,35.33367459786292,-51.14455626296722,18000
50519.630397058274,10.0,-50.4,-49.0,10.0,0.03535,63.77768370389542,36.09337484725022,-49.15321428195432,18000
