Freq.	V(vout3)
6.30957344480192e+001	(-1.76917183010471e+001dB,1.73919352651721e+002°)
6.45654229034654e+001	(-1.77172575269670e+001dB,1.74807007603084e+002°)
6.60693448007595e+001	(-1.77404856031763e+001dB,1.75697922530540e+002°)
6.76082975391980e+001	(-1.77614081666195e+001dB,1.76592090232433e+002°)
6.91830970918935e+001	(-1.77800295746884e+001dB,1.77489513707375e+002°)
7.07945784384136e+001	(-1.77963527856657e+001dB,1.78390205534611e+002°)
7.24435960074988e+001	(-1.78103792444606e+001dB,1.79294187209794e+002°)
7.41310241300916e+001	(-1.78221087738774e+001dB,-1.79798511561469e+002°)
7.58577575029182e+001	(-1.78315394716248e+001dB,-1.78887853610017e+002°)
7.76247116628690e+001	(-1.78386676132579e+001dB,-1.77973795087280e+002°)
7.94328234724279e+001	(-1.78434875612147e+001dB,-1.77056286285035e+002°)
8.12830516164097e+001	(-1.78459916800996e+001dB,-1.76135272488737e+002°)
8.31763771102669e+001	(-1.78461702583501e+001dB,-1.75210694862489e+002°)
8.51138038202374e+001	(-1.78440114364128e+001dB,-1.74282491363788e+002°)
8.70963589956078e+001	(-1.78395011415504e+001dB,-1.73350597686296e+002°)
8.91250938133743e+001	(-1.78326230293983e+001dB,-1.72414948228941e+002°)
9.12010839355907e+001	(-1.78233584323883e+001dB,-1.71475477089740e+002°)
9.33254300796988e+001	(-1.78116863151614e+001dB,-1.70532119082769e+002°)
9.54992586021433e+001	(-1.77975832370940e+001dB,-1.69584810776773e+002°)
9.77237220955808e+001	(-1.77810233220714e+001dB,-1.68633491553906e+002°)
9.99999999999997e+001	(-1.77619782356477e+001dB,-1.67678104687097e+002°)
1.02329299228075e+002	(-1.77404171697413e+001dB,-1.66718598434539e+002°)
1.04712854805090e+002	(-1.77163068350243e+001dB,-1.65754927149728e+002°)
1.07151930523760e+002	(-1.76896114611716e+001dB,-1.64787052405438e+002°)
1.09647819614318e+002	(-1.76602928051461e+001dB,-1.63814944129934e+002°)
1.12201845430196e+002	(-1.76283101677006e+001dB,-1.62838581753600e+002°)
1.14815362149688e+002	(-1.75936204182834e+001dB,-1.61857955364046e+002°)
1.17489755493953e+002	(-1.75561780285378e+001dB,-1.60873066867631e+002°)
1.20226443461741e+002	(-1.75159351145848e+001dB,-1.59883931155117e+002°)
1.23026877081238e+002	(-1.74728414882746e+001dB,-1.58890577269048e+002°)
1.25892541179416e+002	(-1.74268447175864e+001dB,-1.57893049570225e+002°)
1.28824955169313e+002	(-1.73778901963427e+001dB,-1.56891408900432e+002°)
1.31825673855640e+002	(-1.73259212233896e+001dB,-1.55885733738387e+002°)
1.34896288259165e+002	(-1.72708790913714e+001dB,-1.54876121345642e+002°)
1.38038426460288e+002	(-1.72127031852021e+001dB,-1.53862688898972e+002°)
1.41253754462275e+002	(-1.71513310903040e+001dB,-1.52845574605565e+002°)
1.44543977074592e+002	(-1.70866987106432e+001dB,-1.51824938797135e+002°)
1.47910838816820e+002	(-1.70187403965507e+001dB,-1.50800964998905e+002°)
1.51356124843620e+002	(-1.69473890822643e+001dB,-1.49773860969258e+002°)
1.54881661891248e+002	(-1.68725764330738e+001dB,-1.48743859705699e+002°)
1.58489319246111e+002	(-1.67942330018875e+001dB,-1.47711220412714e+002°)
1.62181009735892e+002	(-1.67122883949758e+001dB,-1.46676229427062e+002°)
1.65958690743755e+002	(-1.66266714465722e+001dB,-1.45639201096005e+002°)
1.69824365246174e+002	(-1.65373104019418e+001dB,-1.44600478604073e+002°)
1.73780082874937e+002	(-1.64441331084472e+001dB,-1.43560434744067e+002°)
1.77827941003892e+002	(-1.63470672140628e+001dB,-1.42519472628172e+002°)
1.81970085860998e+002	(-1.62460403727109e+001dB,-1.41478026335344e+002°)
1.86208713666286e+002	(-1.61409804557072e+001dB,-1.40436561491416e+002°)
