Freq.	V(vout)
Step Information: Run=1  (Run: 1/18)
2.95120922666638e+001	(-8.79477504146707e+000dB,-3.63471535555654e+001°)
3.01995172040201e+001	(-8.89115107954935e+000dB,-3.58427032896595e+001°)
3.09029543251359e+001	(-8.98539849111002e+000dB,-3.53339538076509e+001°)
3.16227766016838e+001	(-9.07751293373125e+000dB,-3.48213206089102e+001°)
3.23593656929628e+001	(-9.16749281094346e+000dB,-3.43052162558715e+001°)
3.31131121482591e+001	(-9.25533924055755e+000dB,-3.37860494391972e+001°)
3.38844156139202e+001	(-9.34105601335467e+000dB,-3.32642240600372e+001°)
3.46736850452531e+001	(-9.42464954240499e+000dB,-3.27401383348340e+001°)
3.54813389233575e+001	(-9.50612880337017e+000dB,-3.22141839278927e+001°)
3.63078054770101e+001	(-9.58550526622246e+000dB,-3.16867451166376e+001°)
3.71535229097172e+001	(-9.66279281888495e+000dB,-3.11581979941298e+001°)
3.80189396320561e+001	(-9.73800768336200e+000dB,-3.06289097130164e+001°)
3.89045144994280e+001	(-9.81116832498461e+000dB,-3.00992377746446e+001°)
3.98107170553497e+001	(-9.88229535544361e+000dB,-2.95695293665953e+001°)
4.07380277804112e+001	(-9.95141143032074e+000dB,-2.90401207513928e+001°)
4.16869383470335e+001	(-1.00185411418570e+001dB,-2.85113367086261e+001°)
4.26579518801592e+001	(-1.00837109077163e+001dB,-2.79834900321942e+001°)
4.36515832240165e+001	(-1.01469488565130e+001dB,-2.74568810838546e+001°)
4.46683592150962e+001	(-1.02082847108703e+001dB,-2.69317974037420e+001°)
4.57088189614874e+001	(-1.02677496687707e+001dB,-2.64085133780085e+001°)
4.67735141287197e+001	(-1.03253762839425e+001dB,-2.58872899632601e+001°)
4.78630092322638e+001	(-1.03811983460015e+001dB,-2.53683744670009e+001°)
4.89778819368445e+001	(-1.04352507610373e+001dB,-2.48520003828704e+001°)
5.01187233627271e+001	(-1.04875694332981e+001dB,-2.43383872790703e+001°)
5.12861383991364e+001	(-1.05381911485844e+001dB,-2.38277407380230e+001°)
5.24807460249772e+001	(-1.05871534599196e+001dB,-2.33202523449942e+001°)
5.37031796370252e+001	(-1.06344945760120e+001dB,-2.28160997231433e+001°)
5.49540873857624e+001	(-1.06802532529786e+001dB,-2.23154466122395e+001°)
5.62341325190348e+001	(-1.07244686897411e+001dB,-2.18184429881006e+001°)
5.75439937337156e+001	(-1.07671804274584e+001dB,-2.13252252196683e+001°)
5.88843655355588e+001	(-1.08084282533012e+001dB,-2.08359162605367e+001°)
6.02559586074357e+001	(-1.08482521088270e+001dB,-2.03506258716857e+001°)
6.16595001861481e+001	(-1.08866920031588e+001dB,-1.98694508721473e+001°)
6.30957344480192e+001	(-1.09237879311251e+001dB,-1.93924754143393e+001°)
6.45654229034654e+001	(-1.09595797964708e+001dB,-1.89197712808372e+001°)
6.60693448007595e+001	(-1.09941073402039e+001dB,-1.84513981994185e+001°)
6.76082975391980e+001	(-1.10274100741043e+001dB,-1.79874041733034e+001°)
6.91830970918935e+001	(-1.10595272193810e+001dB,-1.75278258236196e+001°)
7.07945784384136e+001	(-1.10904976504307e+001dB,-1.70726887412451e+001°)
7.24435960074988e+001	(-1.11203598436192e+001dB,-1.66220078453207e+001°)
7.41310241300916e+001	(-1.11491518309806e+001dB,-1.61757877458719e+001°)
7.58577575029182e+001	(-1.11769111587022e+001dB,-1.57340231081352e+001°)
