Freq.	V(vout)
Step Information: Run=1  (Run: 1/18)
6.16595001861481e+001	(-1.06380753859396e+001dB,-8.51376468915178e+000°)
6.30957344480192e+001	(-1.06636128220615e+001dB,-7.78100468571380e+000°)
6.45654229034654e+001	(-1.06873164661199e+001dB,-7.04716863720352e+000°)
6.60693448007595e+001	(-1.07092024997885e+001dB,-6.31223380786490e+000°)
6.76082975391980e+001	(-1.07292858948677e+001dB,-5.57616664151347e+000°)
6.91830970918935e+001	(-1.07475803173877e+001dB,-4.83892330565838e+000°)
7.07945784384136e+001	(-1.07640980361914e+001dB,-4.10045026019820e+000°)
7.24435960074988e+001	(-1.07788498359700e+001dB,-3.36068484882405e+000°)
7.41310241300916e+001	(-1.07918449347058e+001dB,-2.61955591143958e+000°)
7.58577575029182e+001	(-1.08030909054593e+001dB,-1.87698441609024e+000°)
7.76247116628690e+001	(-1.08125936024293e+001dB,-1.13288410908050e+000°)
7.94328234724279e+001	(-1.08203570912025e+001dB,-3.87162182144664e-001°)
8.12830516164097e+001	(-1.08263835831098e+001dB,3.60280044277822e-001°)
8.31763771102669e+001	(-1.08306733736023e+001dB,1.10954642243070e+000°)
8.51138038202374e+001	(-1.08332247845662e+001dB,1.86074526388548e+000°)
8.70963589956078e+001	(-1.08340341104990e+001dB,2.61398861186983e+000°)
8.91250938133743e+001	(-1.08330955684813e+001dB,3.36939149954991e+000°)
9.12010839355907e+001	(-1.08304012518893e+001dB,4.12707119439225e+000°)
9.33254300796988e+001	(-1.08259410878075e+001dB,4.88714642860021e+000°)
9.54992586021433e+001	(-1.08197027981186e+001dB,5.64973661550205e+000°)
9.77237220955808e+001	(-1.08116718642668e+001dB,6.41496105166688e+000°)
9.99999999999997e+001	(-1.08018314957112e+001dB,7.18293810443980e+000°)
1.02329299228075e+002	(-1.07901626021082e+001dB,7.95378438452088e+000°)
1.04712854805090e+002	(-1.07766437692862e+001dB,8.72761390316261e+000°)
1.07151930523760e+002	(-1.07612512391020e+001dB,9.50453721353249e+000°)
1.09647819614318e+002	(-1.07439588932906e+001dB,1.02846605357763e+001°)
1.12201845430196e+002	(-1.07247382414512e+001dB,1.10680848653281e+001°)
1.14815362149688e+002	(-1.07035584133355e+001dB,1.18549050640452e+001°)
1.17489755493953e+002	(-1.06803861556319e+001dB,1.26452089337973e+001°)
1.20226443461741e+002	(-1.06551858334676e+001dB,1.34390762722135e+001°)
1.23026877081238e+002	(-1.06279194368743e+001dB,1.42365779103863e+001°)
1.25892541179416e+002	(-1.05985465924892e+001dB,1.50377747324485e+001°)
1.28824955169313e+002	(-1.05670245807884e+001dB,1.58427166770779e+001°)
1.31825673855640e+002	(-1.05333083591690e+001dB,1.66514417211434e+001°)
1.34896288259165e+002	(-1.04973505912212e+001dB,1.74639748458877e+001°)
1.38038426460288e+002	(-1.04591016825457e+001dB,1.82803269862437e+001°)
1.41253754462275e+002	(-1.04185098234915e+001dB,1.91004939640979e+001°)
1.44543977074592e+002	(-1.03755210391987e+001dB,1.99244554065572e+001°)
1.47910838816820e+002	(-1.03300792473427e+001dB,2.07521736505262e+001°)
1.51356124843620e+002	(-1.02821263239813e+001dB,2.15835926351731e+001°)
1.54881661891248e+002	(-1.02316021779076e+001dB,2.24186367841430e+001°)
1.58489319246111e+002	(-1.01784448339094e+001dB,2.32572098796705e+001°)
1.62181009735892e+002	(-1.01225905253286e+001dB,2.40991939310404e+001°)
1.65958690743755e+002	(-1.00639737963006e+001dB,2.49444480401472e+001°)
1.69824365246174e+002	(-1.00025276140373e+001dB,2.57928072672065e+001°)
1.73780082874937e+002	(-9.93818349149376e+000dB,2.66440814999673e+001°)
1.77827941003892e+002	(-9.87087162072841e+000dB,2.74980543300589e+001°)
1.81970085860998e+002	(-9.80052101723543e+000dB,2.83544819403836e+001°)
1.86208713666286e+002	(-9.72705967548487e+000dB,2.92130920077131e+001°)
1.90546071796324e+002	(-9.65041473586321e+000dB,3.00735826248755e+001°)
1.94984459975804e+002	(-9.57051266315562e+000dB,3.09356212471151e+001°)
1.99526231496887e+002	(-9.48727943665757e+000dB,3.17988436673623e+001°)
2.04173794466952e+002	(-9.40064075194380e+000dB,3.26628530252642e+001°)
2.08929613085403e+002	(-9.31052223426200e+000dB,3.35272188548914e+001°)
2.13796208950222e+002	(-9.21684966345404e+000dB,3.43914761760442e+001°)
2.18776162394954e+002	(-9.11954921024313e+000dB,3.52551246340282e+001°)
2.23872113856833e+002	(-9.01854768366097e+000dB,3.61176276926562e+001°)
2.29086765276776e+002	(-8.91377278932607e+000dB,3.69784118850492e+001°)
2.34422881531991e+002	(-8.80515339822605e+000dB,3.78368661265542e+001°)
2.39883291901948e+002	(-8.69261982560268e+000dB,3.86923410937782e+001°)
2.45470891568502e+002	(-8.57610411949335e+000dB,3.95441486733401e+001°)
2.51188643150957e+002	(-8.45554035844559e+000dB,4.03915614834903e+001°)
2.57039578276885e+002	(-8.33086495789795e+000dB,4.12338124712240e+001°)
2.63026799189537e+002	(-8.20201698470994e+000dB,4.20700945869454e+001°)
2.69153480392690e+002	(-8.06893847933101e+000dB,4.28995605381251e+001°)
2.75422870333816e+002	(-7.93157478512391e+000dB,4.37213226227499e+001°)
2.81838293126444e+002	(-7.78987488440526e+000dB,4.45344526427064e+001°)
2.88403150312659e+002	(-7.64379174083598e+000dB,4.53379818965942e+001°)
2.95120922666637e+002	(-7.49328264789060e+000dB,4.61309012508410e+001°)
3.01995172040200e+002	(-7.33830958325643e+000dB,4.69121612874351e+001°)
3.09029543251358e+002	(-7.17883956916485e+000dB,4.76806725261107e+001°)
3.16227766016837e+002	(-7.01484503883664e+000dB,4.84353057184736e+001°)
3.23593656929627e+002	(-6.84630420943233e+000dB,4.91748922113563e+001°)
3.31131121482590e+002	(-6.67320146213712e+000dB,4.98982243767022e+001°)
3.38844156139201e+002	(-6.49552773027562e+000dB,5.06040561055281e+001°)
3.46736850452530e+002	(-6.31328089664407e+000dB,5.12911033640656e+001°)
3.54813389233574e+002	(-6.12646620156287e+000dB,5.19580448110778e+001°)
3.63078054770100e+002	(-5.93509666348605e+000dB,5.26035224766470e+001°)
3.71535229097171e+002	(-5.73919351435226e+000dB,5.32261425044975e+001°)
3.80189396320559e+002	(-5.53878665221496e+000dB,5.38244759622075e+001°)
