Freq.	V(vout3)+V(vout2)+V(vout1)
3.01995172040201e+001	(6.30491201014833e+000dB,1.78965472745946e+002°)
3.09029543251359e+001	(6.30266960605128e+000dB,1.79071215938954e+002°)
3.16227766016838e+001	(6.30058029326790e+000dB,1.79176699733207e+002°)
3.23593656929628e+001	(6.29864034654617e+000dB,1.79281963504676e+002°)
3.31131121482591e+001	(6.29684629658331e+000dB,1.79387047427551e+002°)
3.38844156139202e+001	(6.29519492758605e+000dB,1.79491992433337e+002°)
3.46736850452531e+001	(6.29368327496335e+000dB,1.79596840173141e+002°)
3.54813389233575e+001	(6.29230862317641e+000dB,1.79701632982995e+002°)
3.63078054770101e+001	(6.29106850376906e+000dB,1.79806413852019e+002°)
3.71535229097172e+001	(6.28996069359983e+000dB,1.79911226393269e+002°)
3.80189396320561e+001	(6.28898321329593e+000dB,-1.79983885182897e+002°)
3.89045144994280e+001	(6.28813432594726e+000dB,-1.79878876093121e+002°)
3.98107170553497e+001	(6.28741253605813e+000dB,-1.79773701003149e+002°)
4.07380277804112e+001	(6.28681658877262e+000dB,-1.79668314047924e+002°)
4.16869383470335e+001	(6.28634546938935e+000dB,-1.79562668849817e+002°)
4.26579518801592e+001	(6.28599840317945e+000dB,-1.79456718535139e+002°)
4.36515832240165e+001	(6.28577485552202e+000dB,-1.79350415749115e+002°)
4.46683592150962e+001	(6.28567453236982e+000dB,-1.79243712669446e+002°)
4.57088189614874e+001	(6.28569738105801e+000dB,-1.79136561018622e+002°)
4.67735141287197e+001	(6.28584359146777e+000dB,-1.79028912075130e+002°)
4.78630092322638e+001	(6.28611359755686e+000dB,-1.78920716683710e+002°)
4.89778819368445e+001	(6.28650807926849e+000dB,-1.78811925264794e+002°)
5.01187233627271e+001	(6.28702796482974e+000dB,-1.78702487823286e+002°)
5.12861383991364e+001	(6.28767443345092e+000dB,-1.78592353956820e+002°)
5.24807460249772e+001	(6.28844891843654e+000dB,-1.78481472863645e+002°)
5.37031796370252e+001	(6.28935311071952e+000dB,-1.78369793350291e+002°)
5.49540873857624e+001	(6.29038896282912e+000dB,-1.78257263839149e+002°)
5.62341325190348e+001	(6.29155869330421e+000dB,-1.78143832376129e+002°)
5.75439937337156e+001	(6.29286479156290e+000dB,-1.78029446638546e+002°)
5.88843655355588e+001	(6.29431002323998e+000dB,-1.77914053943386e+002°)
6.02559586074357e+001	(6.29589743600377e+000dB,-1.77797601256109e+002°)
6.16595001861481e+001	(6.29763036586415e+000dB,-1.77680035200172e+002°)
6.30957344480192e+001	(6.29951244398354e+000dB,-1.77561302067406e+002°)
6.45654229034654e+001	(6.30154760400331e+000dB,-1.77441347829458e+002°)
6.60693448007595e+001	(6.30374008989777e+000dB,-1.77320118150452e+002°)
6.76082975391980e+001	(6.30609446436861e+000dB,-1.77197558401070e+002°)
6.91830970918935e+001	(6.30861561779224e+000dB,-1.77073613674241e+002°)
7.07945784384136e+001	(6.31130877773358e+000dB,-1.76948228802652e+002°)
7.24435960074988e+001	(6.31417951903917e+000dB,-1.76821348378276e+002°)
7.41310241300916e+001	(6.31723377452311e+000dB,-1.76692916774160e+002°)
7.58577575029182e+001	(6.32047784625951e+000dB,-1.76562878168698e+002°)
7.76247116628690e+001	(6.32391841749489e+000dB,-1.76431176572629e+002°)
7.94328234724279e+001	(6.32756256519422e+000dB,-1.76297755859037e+002°)
8.12830516164097e+001	(6.33141777323464e+000dB,-1.76162559796608e+002°)
8.31763771102669e+001	(6.33549194625978e+000dB,-1.76025532086446e+002°)
8.51138038202374e+001	(6.33979342420884e+000dB,-1.75886616402746e+002°)
8.70963589956078e+001	(6.34433099753319e+000dB,-1.75745756437645e+002°)
8.91250938133743e+001	(6.34911392311350e+000dB,-1.75602895950605e+002°)
9.12010839355907e+001	(6.35415194088998e+000dB,-1.75457978822663e+002°)
9.33254300796988e+001	(6.35945529121733e+000dB,-1.75310949115959e+002°)
9.54992586021433e+001	(6.36503473295574e+000dB,-1.75161751138926e+002°)
9.77237220955808e+001	(6.37090156230839e+000dB,-1.75010329517571e+002°)
9.99999999999997e+001	(6.37706763241436e+000dB,-1.74856629273316e+002°)
1.02329299228075e+002	(6.38354537370524e+000dB,-1.74700595907858e+002°)
1.04712854805090e+002	(6.39034781503233e+000dB,-1.74542175495570e+002°)
1.07151930523760e+002	(6.39748860556869e+000dB,-1.74381314783974e+002°)
1.09647819614318e+002	(6.40498203748986e+000dB,-1.74217961302866e+002°)
1.12201845430196e+002	(6.41284306943371e+000dB,-1.74052063482675e+002°)
1.14815362149688e+002	(6.42108735073798e+000dB,-1.73883570782724e+002°)
1.17489755493953e+002	(6.42973124645076e+000dB,-1.73712433830035e+002°)
1.20226443461741e+002	(6.43879186310674e+000dB,-1.73538604569426e+002°)
1.23026877081238e+002	(6.44828707525772e+000dB,-1.73362036425620e+002°)
1.25892541179416e+002	(6.45823555274208e+000dB,-1.73182684478197e+002°)
1.28824955169313e+002	(6.46865678867352e+000dB,-1.73000505650201e+002°)
1.31825673855640e+002	(6.47957112812466e+000dB,-1.72815458911318e+002°)
1.34896288259165e+002	(6.49099979747445e+000dB,-1.72627505496543e+002°)
1.38038426460288e+002	(6.50296493438371e+000dB,-1.72436609141340e+002°)
1.41253754462275e+002	(6.51548961835497e+000dB,-1.72242736334326e+002°)
1.44543977074592e+002	(6.52859790182578e+000dB,-1.72045856588595e+002°)
1.47910838816820e+002	(6.54231484173661e+000dB,-1.71845942732817e+002°)
